text,label
"my invoice shows two charges for order 8817, please refund the duplicate",billing
"card was charged twice for the same subscription this month",billing
"need to update the payment method on my monthly invoice",billing
"refund not received even though the return was approved",billing
"price on the invoice does not match the quote I accepted",billing
"credit card statement shows a charge from your store I do not recognize",billing
"where is my parcel, tracking has not updated in 6 days",shipping
"the courier says the package was delivered but nothing arrived",shipping
"can I change the delivery address for order 5520 before it ships",shipping
"package arrived with the box crushed and two items missing",shipping
"customs delayed my shipment for 9 days, will it still arrive",shipping
"the parcel weighs less than the label says, is something missing",shipping
"the app crashes when I open the settings page on android 14",technical
"login fails with error code 502 on every attempt",technical
"firmware update 3.4 bricked my device, it will not boot now",technical
"the export button hangs at 40 percent and never finishes",technical
"wifi keeps dropping every few minutes after the latest update",technical
"api returns a timeout when uploading files larger than 20 megabytes",technical
"my invoice for order 9032 has the wrong vat number",billing
"the parcel was left outside and got soaked in the rain",shipping
"battery drains fully within 2 hours since the update",technical
"refund the shipping fee, the delivery was 5 days late",shipping
"two factor codes never arrive on my phone",technical
"double charged on invoice 7745 and on my card statement",billing
