date,description,amount,account,category,product_id
2026-06-01,"NorthWind Trading Hopper, restock","-$1,250.00","ACCT-12-4401",Coffee,SKU-1204
2026-06-02,"northwind trading hopper wholesale","-$1,210.00",acct-12-44011,Coffee,SKU-1202
2026-06-03,"Payroll, tara roberts","-$4,882.00","CT-77-2088",Payroll,SKU-P001
2026-06-04,"Payroll, rob vale","-€610.00","CT-77-2088",Payroll,SKU-P002
2026-06-05,"Rent, office 24","-£1,150.00",RENT-24,Rent,SKU-0901
2026-06-06,"Vending, coffee beans","-$89.90","ACCT-12-4401",Coffee,SKU-2501
2026-06-07,"NorthWind Trading Hopper restock","+$312.50","ACCT-12-4401",Coffee,SKU-0342
2026-06-08,"Internet, automatic bill","-$60.00","UT-9-7001",Utilities,SKU-7001
2026-06-09,"Water bill","-$40.50",UT-9-7002,Utilities,SKU-7002
2026-06-10,"Stock, misc","-$40.20",IV-4401,Inventory,SKU-4401
2026-06-11,"Cleaning, lobby","-$38.00",FA-8001,Facilities,SKU-8001
